original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,Label
44,101,399608920,1.957736051,30,3.072951465,164,17.85071885,72.44896667,73,-34,198,12.59451342,75.83595866,0.01330961149,270583191.9,0.3004821376,502.2398543,6
57,169,778786,2.698215843,56,3.495034952,231,35.23945176,103.5081967,94,28,203,25.28258362,112.9910776,0.9701034925,527331.5763,0.186240258,2053.036818,7
15,86,50165548,2.253682181,38,3.792265901,198,22.19576815,52.24704558,53,-78,276,15.54926252,59.4037789,0.06502182984,44351423.69,0.2470847423,799.0551756,1
26,63,13907031,1.474861507,19,3.318040064,106,11.85064108,44.65873523,44,-9,115,8.190600907,47.12601094,0.1012994002,12295223.49,0.4186834736,226.4582749,4
40,109,18118209,2.194787002,36,3.204424009,166,21.36648112,75.90146901,77,-25,191,15.04953537,80.57080713,-0.2886393689,16018331.22,0.2557705508,730.6219649,6
23,74,225214805,1.840337329,26,4.387942694,273,16.15499047,47.22075209,46,-88,361,11.2031008,51.55790268,0.03678923074,199112690.6,0.3332150629,428.4179013,1
29,82,494026927,1.788558985,25,4.490406864,160,16.75816566,51.65101077,47,-28,188,10.99965193,56.10249799,1.141944546,436769823.7,0.3620861099,479.663367,3
39,96,63196661,1.910499993,30,2.869065635,156,17.48212989,68.57818003,69,1,155,12.56343944,71.94606067,0.02744428778,55872246.99,0.3071950557,473.2688695,4
76,115,21726821,1.53521931,21,5.003397158,153,12.68614296,94.8420828,95,4,149,8.619290522,96.29682071,-0.4904230818,19208709.6,0.4111845766,278.0570084,6
108.1,234.9,556911,2.710777084,78.75,3.665974129,325,45.85802469,165.6111111,154.5,86,239,28.93877551,175.8962763,1.016112158,492365.7112,0.1851851852,3512.459877,7
24,91,28959323,2.200658408,34,7.077162823,373,20.90738044,58.79705711,60,-50,423,13.98706156,64.95394975,0.1421892457,25602973.66,0.2675004737,761.9216638,2
566,1320.5,1730980182,5.19897712,447.25,2.374608996,1434,243.6068827,1022.079427,1118,259,1175,185.8701121,1061.574407,-0.7388018175,1530361743,0.0330980089,82293.86739,7
20,80,246140752,1.998103725,34,2.95931838,132,19.06130813,51.54627666,54,-103,235,13.98212467,56.5928218,-0.3078452669,217613346.5,0.2868999244,545.7288416,1
40,83,109888373,1.60957224,23,3.321505001,130,13.45765958,62.41605145,63,-40,170,9.62190853,64.66655384,-0.2770941773,97152447.93,0.3841327133,285.9997073,6
22.7,210.6,1976832,3.401040013,103.75,2.53558936,285,56.74,107.9,94,-34,319,41.05512153,128.3495228,0.4822575261,1747719.642,0.1069444444,4831.19,7
31,108,67665367,2.304832541,39,4.048620579,152,24.21168243,73.76901275,79,-107,259,16.77960112,79.95355702,-0.8522447307,59823035.55,0.2430814008,950.7040374,1
-24,76.9,2807618,2.638443803,55,2.604094759,107,31.44233136,29.26072607,35,-85,192,22.90285539,48.13020363,-0.4569514219,2482218.583,0.1809313357,1460.326411,6
32,86,210035107,1.876071946,27,3.607718297,141,16.74760216,60.50386868,62,-88,229,11.66548309,64.14219524,-0.47824455,185692300.6,0.3217196749,453.5030849,1
2,66.6,1660264,2.155408141,33,4.469367225,99,21.0041506,35.40606061,40,-84,183,13.75267218,44.86024088,-0.8837978791,1467841.478,0.2698828283,758.8520845,6
6,77,46041190,2.253837374,38,3.250492029,225,22.16236409,41.77160697,42,-94,319,15.63772445,50.21652645,-0.06042253525,29093464.21,0.2459045198,776.8323804,1
16,81,21408150,2.154937606,34,3.216139106,166,20.54900961,48.29698246,48,-38,204,14.33568407,54.81471182,0.2053627306,13527826.84,0.2639604457,672.0541172,3
3,82,54440236,2.389141138,41,3.168979749,156,24.54457578,43.22492212,44,-101,257,17.26826216,53.1657394,-0.1648442516,34400827.99,0.2239841099,958.2019542,6
26,70,142457869,1.644639096,23,3.869433607,141,13.80601881,48.1961281,49,-58,199,9.705701471,51.32356907,-0.295793317,83068786.06,0.3760320028,311.2419783,1
41,79,167728044,1.455208534,20,3.508633758,148,11.86352174,60.70098428,61,-16,164,8.343657105,62.54690715,-0.08408553015,97804109.4,0.4410039456,227.506102,6
25,96,99748623,2.200167219,39,2.856614493,146,22.24434919,63.09849995,66,-49,195,16.07727348,68.81172018,-0.4444364643,88187882.28,0.2514701211,753.6321377,1
19,97,11805619,2.330431977,39,3.375289121,144,24.14627498,61.18722729,65,-55,199,16.72518902,68.43179923,-0.5823428568,10437362.51,0.2357251055,939.0343628,6
51,113,35401185,2.005920892,32,2.75752022,168,18.92667595,80.09386068,78,5,163,13.60193285,83.46253463,0.2735475519,31298231.91,0.285633749,550.9681677,7
48,101,691763615,1.86794802,28,60.25074546,190,16.78338155,75.54893522,77,-988,1178,11.88945905,78.50989134,-1.501346986,498139843.9,0.3213496896,456.1614252,1
